Latitude,Longitude,AWC Name,AWC_ID
17.093,77.6355,KODANGAL-1,1409001
17.1069,77.6244,KODANGAL-2,1409002
17.1038,77.6295,KODANGAL-3,1409003
17.0924,77.6362,KODANGAL-4,1409004
17.1171,77.6494,KODANGAL-5,1409005
17.112,77.6255,KODANGAL-6,1409006
17.1044,77.6323,KODANGAL-7,1409007
17.1069,77.6244,KODANGAL-8,1409008
17.1042,77.6219,KODANGAL-9,1409009
17.0924,77.6362,KODANGAL-10,1409010
17.1409,77.6054,KODANGAL-11,1409011
17.1069,77.6244,KODANGAL-12,1409012
17.095,77.6023,CHITLAPALLY-1,1409013
16.9873407,77.7109058,CHITLAPALLY-2,1409014
17.0957,77.6029,KHAJAAHMEDPALLY,1409015
17.102713,77.5975805,POSHAMMA TANDA,1409016
17.101,77.6156,KONDAREDDYPALLY,1409017
17.0957,77.6029,BULKA POOR,1409018
17.093739,77.5814639,INNANPALLY,1409019
17.0715,77.5929,CHINNA NANDIGAMA,1409020
17.08533,77.6391148,BURUJKHANPALLY,1409021
17.1104918,77.6218177,RAWALAPALLY-I,1409022
17.0472,77.5223,RAWALAPALLY-II,1409023
17.0559,77.4976,RAWALAPALLY-III,1409024
17.0472,77.5223,RAWALAPALLY-IV,1409025
17.0592,77.5083,INDANOOR-1,1409026
17.059,77.5082,INDANOOR-II,1409027
17.059,77.4961,KASTOORPALLY-1,1409028
17.0602,77.4921,KASTOORPALLY-II,1409029
17.1409,77.6054,UDMESHWARAM,1409030
17.1042,77.6219,ERRANPALLY-I,1409031
17.1502,77.5947,ERRANPALLY-II,1409032
17.0556,77.6522,HUSNABAD-1,1409033
17.0739,77.6814,HUSNABAD-2,1409034
17.0566,77.6546,HUSNABAD-3,1409035
17.0512,77.6503,HUSNABAD-4,1409036
17.051,77.6483,HUSNABAD-5,1409037
17.039,77.6468,ALID,1409038
17.0924,77.6362,PARSAPUR-1,1409039
17.1,77.6314,PARSAPUR-II,1409040
17.0843,77.6854,Gopya Thanda,1409041
17.0738,77.6815,PALGURALLA TANDA,1409042
17.0842,77.6822,YEKACHERU TANADA,1409043
17.0863,77.6517,PATTA KODANGAL,1409044
17.0936,77.6631,PATTA KODANGAL TANDA,1409045
17.0562,77.604,PEDDANANDIGAMA-I,1409046
17.0566,77.6076,PEDDANANDIGAMA-II,1409047
17.0807,77.633,GUNDLAKUNTA ,1409048
17.0957,77.6029,PIYALAMADDI,1409049
17.0693,77.6189,HUSSAINPUR,1409050
17.1328,77.5114,RUDRARAM-1,1409051
17.1353,77.5109,RUDRARAM-2,1409052
17.1349,77.5116,RUDRARAM-3,1409053
17.1333,77.5102,RUDRARAM-4,1409054
17.1354,77.511,RUDRARAM-5,1409055
17.1348,77.5093,RUDRARAM-6,1409056
17.1132,77.4789,BHAVANAMMA (T),1409057
17.1082,77.4663,BHEEMALI (T),1409058
17.1594,77.493,PATIMIDIPALLY,1409059
17.1040783,77.5202,UPPERPALLY,1409060
17.1426,77.5311,NASARAM,1409061
17.0582,77.4951,ANNARAM-I,1409062
17.0562,77.5434,ANNARAM-II,1409063
17.0576,77.4969,TEKULCODE-I,1409064
17.0595,77.4972,TEKULCODE-II,1409065
17.0576,77.4969,TEKULCODE (T),1409066
17.1019,77.4672,BOYAPALLY TANDA,1409067
17.0943,77.6016,LAXMIPALLY,1409068
17.0957,77.6029,SANSAIPALLY,1409069
17.0627,77.5499,ANGADIRAICHUR-I,1409070
17.0598,77.5488,ANGADIRAICHUR-II,1409071
17.0919,77.539,ANGADIRAICHUR-III,1409072
17.0598,77.5488,ANGADIRAICHUR-IV,1409073
17.0582,77.4951,DHARMAPUR,1409074
17.1592,77.7369,BOMRASPET -1,1409075
17.168,77.7404,BOMRASPET -1I,1409076
17.1708,77.7416,BOMRASPET -1II,1409077
17.1652,77.7393,BOMRASPET -1V,1409078
17.1669,77.7381,GAJULAKUNTA TANDA,1409079
17.1507,77.7459,METLAKUNTA - I,1409080
17.1579,77.785,METLAKUNTA - II,1409081
17.1507,77.7459,LUTKUNTA TANDA,1409082
17.1792,77.7771,MAISHAMMAGADDA TANDA,1409083
17.1507,77.7459,BHUJANNAGADDA (T),1409084
17.1507,77.7459,BURRAI TANADA,1409085
17.1579,77.785,DEPPLANAIK TANDA,1409086
17.1792,77.7771,Gubbadi Thanda,1409087
17.1767,77.7815,Buranpur - 1,1409088
17.1897281,77.7618374,Buranpur - 2,1409089
17.1235,77.6688,SURIYA NAIK TANDA,1409090
17.1863,77.7491,Thettakunta Thanda,1409091
17.2086,77.7629,NARSIYA NAIK TANDA,1409092
17.1546,77.7294,GIDDIGANI TANDA,1409093
17.2193343,77.7711345,MADANPALLY ,1409094
17.2109,77.7646,MADANPALLY TANDA,1409095
17.1668,77.7381,SALIMDAPUR,1409096
17.1624,77.756,Malakunta Thanda,1409097
17.1685,77.7664,TEKULAGADDATANDA,1409098
17.1392,77.6974,MAHANTIPUR,1409099
17.1104656,77.6217154,JANAKAMPALLY,1409100
17.1458,77.7284,DUPCHERLLA,1409101
17.1194,77.7375,NAMDARPUR-I,1409102
17.1194,77.7376,NAMDARPUR-II,1409103
17.1018,77.6507,MEDUHITTU TANDA,1409104
17.1007,77.7399,BORABANDA TANDA,1409105
17.1503,77.7333,TUNKIMETLA-I,1409106
17.1482,77.7328,TUNKIMETLA-II,1409107
17.1406083,77.7063964,BUTLONI TANDA,1409108
17.0551,77.6792,DUDUIYAL-I,1409109
17.0551,77.6792,DUDUIYAL-II,1409110
17.0551,77.6792,DUDUIYAL-III,1409111
17.0269,77.6799,DUDUIYAL-IV,1409112
17.0248,77.6824,DUDUIYAL-V,1409113
17.0248,77.6824,DUDUIYAL-VI,1409114
17.0248,77.6824,ALIKHANPALLY,1409115
17.0944,77.7439,ERRUPUMALLA -I,1409120
17.1151,77.7587,ERRUPUMALLA -II,1409121
17.1272,77.7646,KAKARLAGANDI TANDA,1409122
17.1456,77.7239,CHOWDERPALLY-I,1409123
17.1417,77.7094,CHOWDERPALLY-II,1409124
17.0944,77.744,BAPALLYTANDA,1409125
17.1034,77.7612,PALABAI TANDA,1409126
17.1168,77.7601,SHEETA NAIK TANDA,1409127
17.0641,77.7375,ERLAPALLY-1,1409128
17.0641,77.7375,YELLAGADDA TANDA,1409129
17.0757,77.7375,SATTURKUNTA TANDA,1409130
17.0545,77.7339,Nanya Nayak Thanda,1409131
17.0916,77.7279,GOUWRARAM-1,1409132
17.0915,77.728,GOUWRARAM-1I,1409133
17.0939,77.7115,SAGARAM TANDA,1409134
17.051,77.7241,LAGACHERLLA-I,1409135
17.0532,77.7307,LAGACHERLLA-II,1409136
17.0577,77.7339,LAGACHERLLA TANDA,1409137
17.1213,77.6669,REGADIMAILARAM-1,1409138
17.124,77.6669,REGADIMAILARAM-1I,1409139
17.1177,77.6652,MUDOMAMILA TANDA,1409140
17.1177,77.6652,B.K. NAIK TANA,1409141
17.1219,77.6681,BAMACHERU TANDA,1409142
17.1406,77.7071,NAGAREDDYPALLY,1409143
17.1517,77.692,KUTHUR-I,1409144
17.1517,77.6921,KUTHUR-II,1409145
17.1397,77.6985,RAMNAIK TANDA,1409146
17.1489,77.7406,KATTUKALVA TANDA,1409147
17.1651,77.6815,LINGA NAIK TANDA,1409148
17.1788,77.6012,VADCHERLLA-1,1409149
17.1788,77.6012,VADCHERLLA-1I,1409150
17.1701,77.6154,URUVENKI TANDA,1409151
17.1762,77.6724,EMMMIDI TANDA,1409152
17.2496862,77.6394728,YENKAIPALLY-I,1409153
17.1514,77.6332,YENKAIPALLY-II,1409154
17.1134,77.6663,CHILMULMAILARAM-I,1409155
17.0967,77.6819,CHILMULMAILARAM-II,1409156
17.0967,77.6819,CHITTUPALLI TAND,1409157
17.0969286,77.6819856,SATUKUNTA TANDA,1409158
17.0966,77.6977,PULLIBAI TANDA,1409159
17.0869,77.7072,MUCHUKUNTANDA,1409160
17.0967,77.6819,EKKACHERUTANDA,1409161
17.1065,77.7095,AMSANPALLY,1409162
17.1018,77.6505,NAGZKHANPALLY,1409163
17.1184,77.7016,LINGANPALLY,1409164
17.0079,77.5633,DOULTABAD-I,1409165
17.008,77.5633,DOULTABAD-II,1409166
17.0076,77.5663,DOULTABAD-III,1409167
17.0098,77.5651,DOULTABAD-IV,1409168
17.0064,77.5651,DOULTABAD-V,1409169
17.0071,77.5676,DOULTABAD-VI,1409170
16.9804,77.5803,RamankuntaTanda,1409171
16.9766,77.5688,RAIYALAGATTU TANDA,1409172
16.9576,77.573,GOKAFASLABAD-I,1409173
16.956,77.5715,GOKAFASLABAD-II,1409174
16.959,77.5738,GOKAFASLABAD-III,1409175
16.9365,77.5687,PULKAMPALLY,1409176
16.9184,77.5776,Sevabanda Thanda,1409177
16.9318,77.5662,KISTANAIK TANDA,1409178
16.9411,77.5801,WALKI TANDA,1409179
16.9184,77.5509,NAGASAGAR,1409180
16.9177,77.5505,TIMMLAPUR,1409181
16.9184,77.5306,HANMINAIK TANDA(Mini),1409182
16.9186,77.576,DEVARFASLABAD - I,1409183
16.9186,77.5775,DEVARFASLABAD - II,1409184
16.9186,77.5776,DEVARFASLABAD - III,1409185
16.9247,77.5916,Lottigutta Thanda,1409186
16.9187,77.5761,BHAGYA NAIK TANDA,1409187
16.9354,77.5779,NANDINAIK TANAD,1409188
16.9573,77.5201,BALLAMPET-I,1409189
16.9574,77.5201,BALLAMPET-II,1409190
16.9378,77.5298,SULTANAPUR,1409191
16.9568,77.5513,TEMMAREDDYPALLY,1409192
16.9569,77.5514,TEMMAREDDYPALLY-II,1409193
16.9794,77.5526,BANDIWADA TANDA,1409194
16.9576,77.5731,CHELLAPUR-I,1409195
16.9767,77.613,CHELLAPUR-II,1409196
16.9768,77.6135,ERLAPALLY-2,1409197
17.0865,77.5486,CHANDRAKAL,1409198
17.0400639,77.5108821,CHANDRAKAL-II,1409199
17.0277,77.5204,Dasarigudem,1409200
17.0277,77.5205,KUPPAGIRI,1409201
17.0425,77.5416,MATOOR-I,1409202
17.0424,77.5416,MATOOR-II,1409203
17.0515,77.5709,NETTOR-I,1409204
17.0508,77.5692,NETTOR-II,1409205
17.0318,77.5742,NARSAPOOR,1409206
17.0318,77.5742,KOWDEED,1409207
17.0263,77.5911,NANDARAM,1409208
16.9886,77.4996,BICHYAL-I,1409209
16.9885,77.4996,BICHYAL-II,1409210
17.0083,77.5193,Bichal Thanda,1409211
17.0253,77.6348,KUDURMALLA,1409212
17.0253,77.6348,KUDURMALLA-II,1409213
17.0455,77.6003,Sangaipally,1409214
17.0343,77.6101,Sangaipally Thanda,1409215
17.0206,77.6032,EMDAPUR,1409216
16.9728,77.6515,Uragunta ,1409217
17.0511,77.6613,Uragunta Thanda,1409218
17.0196,77.5953,YAMKI,1409219
17.0135,77.585,DASTAIALLY,1409220
16.9576,77.5731,SURAIPALLY-1,1409221
17.0472671,77.6452004,SURAIPALLY-2,1409222
17.0143518,77.6287327,SALEEMPUR,1409223
16.9567,77.4813,ANTHWAR-1,1409224
16.9649,77.4948,ANTHWAR-2,1409225
16.9975,77.5429,Gumdal-I,1409226
16.9975,77.5429,Gumdal-II,1409227
16.9566,77.5217,GUNDIPALLY,1409228
16.9785,77.5331,ALLAPUR,1409229
16.9646,77.5194,TIMMIYAPALLY,1409230
17.1137,77.6183,Maisammagadda thanda (Mini),1409231
17.0425,77.5933,Peddanandhigama (Mini),1409232
17.0757,77.7378,Gattameedhi thanda (Mini),1409233
17.1535,77.7643,Pulzanaik thanda (Mini),1409234
17.0517,77.7303,Valyanaik thanda,1409235
17.1748,77.6829,Enimidhi thanda (Mini),1409236
16.9386904,77.5298754,Bangla Thanda(Mini),1409237
17.0147,77.6253,Immudapur (Mini),1409238
17.5155,77.8926,Mominpet - I,1506001
17.5192,77.8918,Mominpet - II,1506002
17.5227,77.8965,Mominpet - III,1506003
17.5234,77.8969,Mominpet - IV,1506004
17.5078998,77.8797805,Chandrayanpally,1506005
17.564,77.8937,Burgupally,1506006
17.522,77.9433,Tekulpally - I,1506007
17.522,77.9434,Tekulpally - II,1506008
17.4987,77.944,Enkathala - I,1506009
17.4970438,77.9397755,Enkathala - II,1506010
17.4977,77.9403,Enkathala - III,1506011
17.4961,77.9914,Chakrampally,1506012
17.4699,77.978,Deverapally,1506013
17.5523,77.9101,Rallagudpally,1506014
17.5493,77.9087,Mekavanampally,1506015
17.4667,78.0034,Cheemaldari,1506016
17.4087,77.6838,Rompally II,1506017
17.5622,77.8951,Amradikalan,1506018
17.5608,77.8712,Amradikurdu,1506019
17.5608,77.8712,Kolkunda(New),1506020
17.5659,77.8341,Narsapoor,1506021
17.4637,77.8894,Velchal - I,1506022
17.4895,77.8707,Morangapally - I,1506023
17.4895,77.8708,Morangapally - II,1506024
17.4713,77.8122,Izrachittempally,1506025
17.4827,77.8413,Kyasaram - I,1506026
17.4886,77.8562,Syedalipoor,1506027
17.5192,77.8918,Mominpet - V,1506028
17.5248,77.8435,Siripuram - I,1506029
17.5238,77.8451,Siripuram - II,1506030
17.5069,77.8408,Enkepally-1,1506031
17.4908,77.9024,Govindapoor,1506032
17.4728,77.9035,Ramnathgudpally,1506033
17.5833,77.7941,Patloor 4,1506034
17.5644,77.919,MekavanampallyTanda,1506035
17.4827,77.8413,Kyasaram - II,1506036
17.5105,77.8873,Durgamchervu - II,1506037
17.4951,77.9406,Enkathala - IV,1506038
17.4628362,77.8858529,Durgamchervu - I,1506039
17.4894,77.8394,Veerlapally,1506040
17.5559622,77.8521202,Kolkunda(Old),1506041
17.5572,77.8547,Ravulapally,1506042
17.5192,77.8918,Kaslabad,1506043
17.4081,77.7414,Kothapally,1506044
17.4054,77.7614,Rampoor - I,1506045
17.4213,77.7667,Enkepally,1506046
17.4299,77.754,Ennaram - I,1506047
17.4694,77.7929,Ravulapally - I,1506048
17.4753,77.7844,Thimmapoor,1506049
17.4747,77.7547,Peddapoor,1506050
17.4639,77.8036,Barwad - I,1506051
17.4496,77.7954,Barwad - II,1506052
17.4384,77.809,Mothkpally - I,1506053
17.438,77.8086,Nagsanpally,1506054
17.4214,77.7956,Karimpoor,1506055
17.4029,77.7847,Jinnaram,1506056
17.3974,77.7797,Kankanalpally,1506057
17.4051,77.8206,Beerol,1506058
17.5369,77.7709,Marpally - IV,1506059
17.5192,77.8918,Panchalingal - II,1506060
17.5832,77.798,Patloor - I,1506061
17.5873,77.7936,Patloor - II,1506062
17.5853,77.791,Patloor - III,1506063
17.5385,77.7697,Marpally - I,1506064
17.5766,77.7647,Marpally - II,1506065
17.5369,77.7709,Marpally - III,1506066
17.5418,77.805,Kothlapoor - I,1506067
17.539,77.7636,Kothlapoor - II,1506068
17.5167,77.7403,Kotmarpally - I,1506069
17.5148,77.7561,Kotmarpally - II,1506070
17.6085455,77.7845465,Ghanapoor,1506071
17.6227,77.7605,Zhamshedpoor,1506072
17.5723,77.8232,Thumalapally,1506073
17.5784,77.8591,Pilligundla,1506074
17.576,77.8544,Gundlamarpally,1506075
17.555,77.812,Panchalingal - I,1506076
17.622,77.8355,Komshetpally - I,1506077
17.6446,77.8222,Mogiligundkla,1506078
17.592,77.8213,Bilkal,1506079
17.5828,77.835,Dargulapally,1506080
17.442,77.7075,Bantaram - I,1506081
17.4421,77.7051,Bantaram - II,1506082
17.4228,77.7018,Edulapally,1506083
17.4568,77.741,Yacharam,1506084
17.4386,77.7381,Sulthanpoor,1506085
17.4593,77.7611,Malasomaram,1506086
17.5261,77.7418,Buchanpally - I,1506087
17.5248,77.7425,Buchanpally - III -1,1506088
17.5055,77.7107,Damasthapoor,1506089
17.4693,77.6543,Thurmamidi - I,1506090
17.4692,77.6542,Thurmamidi - II,1506091
17.4698,77.6518,Thurmamidi - III,1506092
17.4591,77.6722,Baswapoor,1506093
17.461,77.6356,Bopunaram - I,1506094
17.4837,77.9021,Mallareddyguda,1506095
17.4386,77.7382,Nurullapoor,1506096
17.4088,77.6839,Rompally,1506097
17.3931,77.7106,Salbathapoor - I,1506098
17.4752499,77.7282185,Kalkoda - I,1506099
17.475,77.7265,Kalkoda,1506100
17.5671,77.9204,RallagudpallyTanda,1506101
17.5516,77.9478,MakthaTanda,1506102
17.4563,77.8926,Velchal - II,1506103
17.5723,77.8232,NarsapoorTanda,1506104
17.6435,77.8161,Komshetpally - II,1506105
17.4871,77.7202,Shapoor,1506106
17.3931,77.7106,Madwapoor,1506107
17.3793,77.7761,Malshetpally,1506108
17.603,77.8498,Mallikarjunagiri,1506109
17.5249,77.8427,Siripuram - III,1506110
17.4774,77.7743,Ravulapally - II,1506111
17.5239,77.7412,Buchanpally - III -2,1506112
17.461696,77.7264299,Kalkoda - II,1506113
17.4753,77.7843,Kudgunta,1506114
17.4051,77.7614,Rampoor - II,1506115
17.4299,77.7541,Ennaram - II,1506116
17.4633,77.8004,Barwad - III,1506117
17.438,77.8086,Mothkpally - II,1506118
17.4481,77.7284,Bantaram - III,1506119
17.4705,77.6524,Thurmamidi - IV,1506120
17.4609,77.6356,Bopunaram - II,1506121
17.3925,77.6874,Mangraspally,1506122
17.3931,77.7106,Salbathapoor - II,1506123
17.5493,77.9087,Mekavanampally-ll (Mini),1506124
17.5227,77.8965,Kaslabad Tanda (Mini),1506125
17.5339,77.9325,Sudoduka Tanda (Mini),1506126
17.4817,77.8237,Pallegutta Tanda (Mini),1506127
17.5236,77.9416,Tekupally SC (Mini),1506128
17.4587,78.0107,Balreddyguda (Mini),1506129
17.5397,77.7722,Marpally Tanda (Mini),1506130
17.5663,77.7554,Kattepad Tanda (Mini),1506131
17.6215,77.8352,Rampur (Mini),1506132
17.5031,77.7441,Gurramgattu Tanda (Mini),1506133
17.5363,77.7208,Jajjigubbadi Tanda (Mini),1506134
17.5055,77.7106,Damasthapur Tanda (Mini),1506135
17.5405,77.7729,Kothpalur Sc (Mini),1506136
17.4251,77.6929,Nagaram Tanda (Mini),1506137
17.4268,77.8348,Nagusanpally Tanda (Mini),1506138
17.4696,77.7995,Barwad Tanda (Mini),1506139
17.4776,77.75,Madgul Tanda (Mini),1506140
17.1809,77.8777,Baharpet,1508001
17.1793,77.8807,Indira nagar,1508002
17.1733,77.8755,Premnagar,1508003
17.1733,77.8756,Boiwada,1508004
17.1744,77.8747,Munnurgeri,1508005
17.1733,77.8756,Telugugeri,1508006
17.1592,77.8733,Yerragaddapally,1508007
17.1688,77.865,Sulthannagar,1508008
17.2039,77.8909,Mallemoniguda,1508009
17.1886,77.9151,Nayamathnagar,1508010
17.1448,77.8707,Narayanapoor,1508011
17.1761,77.8824,Sulthanpoor,1508012
17.2274,77.8727,Naskal - I,1508013
17.2258,77.871,Naskal - II,1508014
17.2301,77.8601,Bharkathpally,1508015
17.18,77.8803,Rukkumpally,1508016
17.1968,77.8505,Chiguralpally,1508017
17.2101,77.8262,Lakhnapoor,1508018
17.1667,77.8189,Govindapoor,1508019
17.1442,77.8604,Mittakodur - I,1508020
17.2022,77.8116,Mittakodur - II,1508021
17.1535,77.8224,Rangampally I,1508022
17.1533,77.8225,Rangampally II,1508023
17.1653,77.8045,BhojyanaikTanda,1508024
17.1596,77.8293,SondepoorTanda,1508025
17.1357,77.9514,Rapole - I,1508026
17.1289,77.9329,Rapole - II,1508027
17.1255,77.9675,Chityal,1508028
17.1162,77.9785,Thondapally,1508029
17.1298,77.9799,Yabajiguda,1508030
17.1299,77.9208,Khudavanpoor,1508031
17.1291,77.9131,Jaffarpally,1508032
17.0941,77.9576,Syedpally,1508033
17.1086,77.9426,Ravulapally,1508034
17.1881,77.9448,Madharam - I,1508035
17.138,77.9508,Madharam - II,1508036
17.1881,77.9448,Basireddypally,1508037
17.1991,77.9338,Rangapoor,1508038
17.1638,77.9097,Kalapoor,1508039
17.1128,77.924,Raghavapoor,1508040
17.1812,77.8772,Syedmalkapoor,1508041
17.1935,77.9207,NazeerabadTanda,1508042
17.1697,77.8412,Roopkhanpet - I,1508043
17.1697,77.8412,Roopkhanpet - II,1508044
17.1507,77.7459,Gadsingapoor,1508045
17.2032,77.7875,Ibrahimpoor,1508046
17.2047,77.7727,RoopsinghTanda,1508047
17.1921,77.7866,MalkaipetTanda,1508048
17.0865,77.8344,Doma - I,1508049
17.0884,77.8361,Doma - II,1508050
17.0834,77.8327,Doma - III,1508051
17.0846,77.8417,Udhanraopally,1508052
17.0571,77.873,Mothkur - I,1508053
17.0607,77.851,Mothkur - II,1508054
17.0607,77.851,Chenchucolony,1508055
17.0693,77.8058,Inapoor - I,1508056
17.0599,77.8189,Inapoor - II,1508057
17.1771261,77.8803378,Mylaram,1508058
17.1089,77.8408,Thimmaipally,1508059
17.1288,77.8243,Pothireddypally,1508060
17.0904,77.854,Ootpally,1508061
17.1272,77.785,Bompally,1508062
17.1187,77.7883,PeddaTanda -1,1508063
17.1177,77.8881,Baspally,1508064
17.11344,77.9040682,Shivareddypally,1508065
17.114,77.9032,Dongenkapally,1508066
17.1104,77.826,Rakonda,1508067
17.114,77.9032,Gudur,1508068
17.1751025,77.8807786,Palepally,1508069
17.0685,77.8684,Dornalpally,1508070
17.1152,77.8718,Godgonpally,1508071
16.9947,77.7907,Dadapoor - I,1508072
17.0186,77.7947,Dadapoor - Ii,1508073
17.0188,77.7939,Kothapally,1508074
17.0737,77.7914,Dirsampally - I,1508075
17.089,77.7916,Dirsampally - II,1508076
17.1042,77.7956,IlabadTanda,1508077
17.134,77.7967,Kistapoor - I,1508078
17.1356,77.7977,Kistapoor - II,1508079
17.0187,77.7946,Gumdal,1508080
16.9948,77.7906,GumdalTanda,1508081
17.0395,77.7926,Mallepally,1508082
17.0771,77.7719,Kondaipally,1508083
17.1134,77.7917,Brhamanpally,1508084
17.0771,77.855,PeddaTanda -2,1508085
17.1023,77.7717,Ganjipally,1508086
17.1258,77.7786,Budlapoor,1508087
17.0849,77.7735,Badempally,1508088
17.0138,77.8749,Kulkacherla - I,1508089
17.0178,77.8694,Kulkacherla - II,1508090
17.0137,77.885,Chapalagudem,1508091
17.0135,77.8521,Bomreddypally,1508092
17.0295,77.8406,Bandavelikacherla - I,1508093
17.0295,77.8406,Bandavelikacherla - II,1508094
17.0565,77.9513,Adivivenkatapoor,1508095
17.1348949,77.9038654,Thirumalapoor - I,1508096
17.127801,77.8894248,Thirumalapoor - II,1508097
16.9944,77.9359,Ippaipally,1508098
16.9843,77.8861,DhansinghTanda,1508099
16.9444,77.9105,Ananthasagar,1508100
16.995,77.8274,Salveed - I,1508101
16.9948,77.8274,Salveed - II,1508102
16.9731,77.8528,DeeplanaikTanda,1508103
17.0044,77.8159,Chellapoor,1508104
16.9764,77.862,Antharam - I,1508105
16.9715,77.8674,Antharam - II,1508106
16.9813,77.8849,CheruvumundaliTanda,1508107
16.9571,77.8682,Puttapahad,1508108
16.9949,77.8486,Puttapahad SC,1508109
16.9966,77.8981,Mujahidpoor - I,1508110
17.0606,77.9107,Mujahidpoor - II,1508111
17.0727,77.9053,Ramreddypally,1508112
17.0867,77.925,Allapoor Tanda,1508113
17.0361,77.8713,Kamanpally,1508114
17.0409,77.9275,Lingampally,1508115
17.0484,77.9213,DasyanikTanda,1508116
17.0478,77.9259,Vallynaik Tanda L,1508117
17.0407,77.8747,Peerampally,1508118
17.0238,77.82,Ramnagar,1508119
17.0264,77.8244,BandavelikacherlaTanda,1508120
16.9959,77.8398,Ghanapoor,1508121
16.9989,77.9797,Chowdapoor - I,1508127
16.9989,77.9797,Chowdapoor - II,1508128
17.007,77.9752,Vittalapoor,1508129
16.9866,77.9758,ErlabadTanda,1508130
17.0716862,77.8676347,Kusumasamudram - I,1508131
16.9949,77.9029,Kusumasamudram - II,1508132
16.9753,77.928,Kusumasamudram - III,1508133
16.9695,77.9049,Kusumasamudram - IV,1508134
17.1602491,77.8924245,Mandipal,1508141
16.9742,77.9736,Makthavenkatapoor,1508142
17.0163533,77.8725613,Veerapoor,1508143
17.1762,77.7892,Heeryaniak  Tanda  (Mini),1508202
17.1613471,77.8022383,Gangyanaiak  Tanda  (Mini),1508203
17.1661,77.7828,Dadi Tanda  (Mini),1508204
17.1728,77.824,Govinda poor Tanda  (Mini),1508205
17.1633,77.8161,Jeedigadda  Tanda  (Mini),1508206
17.1812,77.8594,Kistammagadi  Tanda  (Mini),1508207
17.1613,77.8434,Suvali  Tanda   (Mini),1508208
17.1633,77.8161,Salipallybata Tanda  (Mini),1508209
17.2098,77.9259,Rangapoor  Tanda  (Mini),1508210
17.189,77.7881,Mannyanaik Tanda  (Mini),1508211
17.1441,77.8604,Ramreddy Pally  (Mini),1508212
17.1319,77.8474,Oot pally Tanda  (Mini),1508213
17.1035,77.7702,GanjiPally  (Mini),1508214
17.1722669,77.878067,Baddyanaik  Tanda  (Mini),1508215
17.0884,77.7657,Badem Pally Tanda  (Mini),1508216
17.0755,77.8717,Jangirsab Tanda  (Mini),1508217
17.1424,77.788,Pinjaram pallugu Tanda  (Mini),1508218
17.0133,77.8004,Dadapoor Tanda  (Mini),1508219
17.1272,77.785,Budlapoo Tanda  (Mini),1508220
17.0043,77.8159,Hanmyanaik Tanda  (Mini),1508221
17.1187,77.7882,Peerla Gutta Tanda (Mini),1508222
16.9929,77.8326,Gopyanaik Tanda  (Mini),1508223
17.0264,77.842,Bhojanaik Tanda CC (Mini),1508224
17.0108,77.9195,Lalsingh Tanda  (Mini),1508225
17.0073,77.9022,Bandameedi Tanda  (Mini),1508226
17.1768286,77.8810324,GandicheruvuTandaThirumala poor  (Mini),1508227
17.0615,77.9033,Pothigadda Tanda  (Mini),1508228
17.0213,77.8165,Suryanaik Tanda  (Mini),1508229
17.0616,77.9033,Manchikunta Tanda  (Mini),1508230
17.0431,77.8963,Patelcheruvu  Tanda  (Mini),1508231
17.033,77.9294,Chakalipally Tanda (Mini),1508233
17.0373,77.9308,Valyanaik Tanda  (Mini),1508234
17.0308,77.9316,Laxmammagadda Tanda (Mini),1508235
17.0204,77.9431,Sakriyanaik  Tanda  (Mini),1508236
17.0228,77.928,Balram Tanda  (Mini),1508237
16.9944,77.9371,GandicheruvuTanda  (Rampur)  (Mini),1508238
16.9736,77.9267,Gattannapally Tanda (Mini),1508239
16.8811,77.9798,Nagammagadda Tanda  (Mini),1508240
17.0199,77.9361,Bhajyanaik Tanda  (Mini),1508241
17.0154867,77.9287075,GogyanaikTanda(Ad. V. Poor)  (Mini),1508242
16.9928,77.8321,Gondiyanaik Tanda (Mini),1508243
