,starting_capacity,choice_delay_phc,choice_delay_ss,demand_served_phc,demand_served_ss,total_delay_phc,total_delay_ss,bad_experience_phc,bad_experience_ss
362,8,102,-1,1,0,464,0,0,0
363,7,22,-1,0,0,400,0,1,0
364,7,-1,0,0,0,0,413,1,1
365,7,-1,-1,0,0,0,0,0,0
366,7,-1,-1,1,0,0,0,0,0
367,6,-1,6,0,0,0,413,0,1
368,6,-1,11,0,0,0,525,1,1
369,6,-1,20,0,0,0,413,0,0
370,6,155,-1,2,0,525,0,0,0
371,4,-1,2,0,0,0,413,0,1
372,4,-1,200,1,0,0,581,0,0
373,3,0,-1,1,0,373,0,0,0
374,2,-1,11,0,0,0,413,0,1
375,2,-1,1,0,0,0,413,0,1
376,2,48,-1,0,0,424,0,0,0
377,2,1,-1,0,0,378,0,0,0
378,2,-1,3,1,0,0,413,0,1
379,1,-1,10,0,0,0,413,0,0
380,1,5,-1,0,0,402,0,1,0
381,1,250,-1,0,0,631,0,0,0
382,1,13,-1,0,0,0,413,1,0
383,1,-1,2,0,0,0,413,0,1
384,1,-1,1,1,0,0,413,0,1
385,0,-1,246,0,0,0,637,0,0
386,0,1,-1,0,0,404,0,1,0
387,0,3,-1,0,0,0,413,1,0
388,0,176,-1,0,0,564,0,0,0
389,0,-1,33,0,0,0,441,0,0
390,0,-1,0,0,0,0,413,0,0
391,0,99,-1,0,0,0,0,1,0
392,0,0,-1,0,0,0,413,1,0
393,0,1,-1,0,0,0,413,1,0
394,0,1,-1,0,0,0,413,1,0
395,0,1,-1,0,0,0,413,1,0
396,0,-1,16,0,0,0,413,0,0
397,0,286,-1,0,0,683,0,0,0
398,0,1,-1,0,0,400,0,1,0
399,0,3,-1,0,0,402,0,0,0
400,50,-1,9,2,0,0,413,0,0
401,48,-1,-1,0,0,0,0,0,0
402,48,-1,2,2,0,0,413,0,0
403,46,-1,21,0,0,0,441,0,0
404,46,-1,0,2,0,0,413,0,0
405,44,-1,8,0,0,0,413,0,0
406,44,16,-1,0,0,422,0,0,0
407,44,-1,0,0,0,0,413,0,0
408,44,-1,7,0,0,0,441,0,0
409,44,-1,0,1,0,0,413,0,0
410,43,-1,0,0,0,0,413,0,0
411,43,-1,25,0,0,0,441,0,0
412,43,-1,4,0,0,0,441,0,0
413,43,26,-1,0,31,439,0,0,0
414,12,109,-1,0,0,523,0,0,0
415,12,-1,-1,0,0,0,0,0,0
416,12,0,-1,1,0,416,0,0,0
417,11,-1,44,0,0,0,469,0,0
418,11,43,-1,0,0,461,0,0,0
419,11,59,-1,0,0,478,0,0,0
420,11,10,-1,0,0,430,0,0,0
421,11,28,-1,0,0,449,0,0,0
422,11,38,-1,1,0,460,0,0,0
423,10,3,-1,0,0,426,0,0,0
424,10,-1,14,1,0,0,441,0,0
425,9,264,-1,0,0,689,0,0,0
426,9,-1,3,1,0,0,441,0,0
427,8,13,-1,0,0,440,0,0,0
428,8,-1,-1,1,0,0,0,0,0
429,7,8,-1,0,0,437,0,0,0
430,7,3,-1,1,0,433,0,0,0
431,6,9,-1,0,0,440,0,0,0
432,6,4,-1,0,0,436,0,0,0
433,6,0,-1,2,0,433,0,0,0
434,4,1,-1,0,0,435,0,0,0
435,4,-1,0,1,0,0,441,0,0
436,3,-1,0,1,0,0,441,0,0
437,2,-1,1,1,0,0,441,0,0
438,1,-1,1,0,0,0,441,0,0
439,1,-1,5,1,0,0,469,0,0
440,50,-1,0,2,0,0,441,0,0
441,48,11,-1,0,15,452,0,0,0
442,33,9,-1,0,0,451,0,0,0
443,33,41,-1,0,0,542,0,1,0
444,33,34,-1,0,0,552,0,1,0
445,33,0,-1,1,0,445,0,0,0
446,32,6,-1,0,0,452,0,0,0
447,32,48,-1,0,0,0,0,1,0
448,32,43,-1,0,0,0,0,1,0
449,32,-1,92,1,0,0,637,0,1
450,31,16,-1,0,0,466,0,0,0
451,31,-1,1,1,0,0,469,0,0
452,30,0,-1,3,0,452,0,0,0
453,27,11,-1,0,0,464,0,0,0
454,27,-1,1,0,0,0,469,0,0
455,27,-1,-1,0,0,0,0,0,0
456,27,4,-1,0,0,460,0,0,0
457,27,-1,3,0,0,0,469,0,0
458,27,1,-1,0,0,459,0,0,0
459,27,0,-1,2,0,459,0,0,0
460,25,-1,0,2,0,0,469,0,0
461,23,-1,5,2,0,0,469,0,0
462,21,-1,0,0,0,0,469,0,0
463,21,0,-1,1,0,463,0,0,0
464,20,-1,127,2,0,0,609,0,0
465,18,1,-1,0,0,466,0,0,0
466,18,-1,1,2,0,0,469,0,0
467,16,-1,1,0,0,0,469,0,0
468,16,-1,34,0,0,0,525,0,0
469,16,80,-1,0,14,549,0,0,0
470,2,16,-1,0,0,539,0,1,0
471,2,-1,-1,0,0,0,0,0,0
472,2,-1,-1,0,0,0,0,0,0
473,2,0,-1,1,0,473,0,0,0
474,1,51,-1,0,0,525,0,0,0
475,1,14,-1,0,0,0,553,1,0
476,1,2,-1,0,0,0,525,1,0
477,1,243,-1,0,0,720,0,0,0
478,1,-1,-1,1,0,0,0,0,0
479,0,17,-1,0,0,0,637,1,0
480,0,-1,-1,0,0,0,0,0,0
481,0,4,-1,0,0,0,525,1,0
482,0,41,-1,0,0,523,0,0,0
483,0,0,-1,0,0,520,0,1,1
484,0,-1,5,0,0,0,581,0,1
485,0,-1,19,0,0,0,525,0,0
486,0,0,-1,0,0,520,0,1,0
487,0,-1,0,0,0,0,525,0,1
488,0,8,-1,0,0,529,0,1,0
489,0,-1,5,0,0,0,525,0,1
490,0,-1,13,0,0,0,525,0,0
491,0,0,-1,0,0,0,525,1,0
492,0,-1,3,0,0,0,525,0,1
493,0,-1,4,0,0,0,525,0,1
494,0,-1,0,0,0,0,525,0,1
495,0,-1,3,0,0,0,525,0,0
496,0,7,-1,0,0,535,0,1,0
497,0,-1,68,0,0,0,581,0,0
498,0,25,-1,0,0,523,0,0,0
499,0,69,-1,0,0,568,0,0,0
500,0,113,-1,0,0,613,0,0,0
501,0,-1,9,0,0,0,525,0,0
502,0,-1,-1,0,0,0,0,0,0
503,0,26,-1,0,0,529,0,0,0
504,0,4,-1,0,0,523,0,1,0
505,0,-1,7,0,0,0,525,0,0
506,0,8,-1,0,0,603,0,1,0
507,0,0,-1,0,0,0,525,1,0
508,0,-1,97,0,0,0,609,0,0
509,0,-1,31,0,0,0,581,0,1
510,0,-1,1,0,0,0,525,0,0
511,0,93,-1,0,0,604,0,0,0
512,0,4,-1,0,0,0,0,1,0
513,0,-1,12,0,0,0,525,0,0
514,0,0,-1,0,0,0,525,1,0
515,0,-1,160,0,0,0,693,0,0
516,0,0,-1,0,0,0,525,1,0
517,0,7,-1,0,0,524,0,0,0
518,0,-1,0,0,0,0,525,0,0
519,0,-1,19,0,0,560,0,0,1
520,50,-1,22,2,0,0,0,0,1
521,48,-1,80,0,0,0,609,0,0
522,48,-1,88,0,0,0,637,0,0
523,48,-1,8,4,0,0,553,0,0
524,44,-1,146,1,0,0,693,0,0
525,43,0,-1,3,22,525,0,0,0
526,18,2,-1,0,0,528,0,0,0
527,18,0,-1,1,0,527,0,0,0
528,17,54,-1,1,0,582,0,0,0
529,16,89,-1,2,0,618,0,0,0
530,14,-1,-1,0,0,0,0,0,0
531,14,-1,-1,0,0,0,0,0,0
532,14,-1,-1,0,0,0,0,0,0
533,14,-1,-1,0,0,0,0,0,0
534,14,3,-1,0,0,537,0,0,0
535,14,1,-1,1,0,536,0,0,0
536,13,8,-1,1,0,544,0,0,0
537,12,-1,0,1,0,0,581,0,1
538,11,16,-1,0,0,0,637,1,0
539,11,14,-1,1,0,562,0,1,0
540,10,-1,112,0,0,0,665,0,0
541,10,-1,3,0,0,0,581,0,1
542,10,1,-1,1,0,543,0,0,0
543,9,0,-1,2,0,543,0,0,0
544,7,-1,22,1,0,0,581,0,0
545,6,10,-1,0,0,0,0,1,0
546,6,-1,2,0,0,0,581,0,1
547,6,0,-1,1,0,547,0,0,0
548,5,-1,8,0,0,0,581,0,0
549,5,-1,2,1,0,560,0,0,1
550,4,0,-1,1,0,550,0,0,0
551,3,-1,4,0,0,0,581,0,0
552,3,-1,9,1,0,0,581,0,0
553,2,0,-1,2,2,560,0,1,0
554,0,12,-1,0,0,566,0,0,0
555,0,-1,-1,0,0,0,0,0,0
556,0,4,-1,0,0,560,0,0,0
557,0,-1,9,0,0,0,581,0,0
558,0,-1,2,0,0,0,581,0,0
559,0,3,-1,0,0,562,0,0,0
560,50,-1,0,4,0,0,581,0,0
561,46,8,-1,0,0,569,0,0,0
562,46,92,-1,2,0,654,0,0,0
563,44,-1,17,0,0,0,581,0,0
564,44,-1,8,1,0,0,581,0,0
565,43,1,-1,0,0,566,0,0,0
566,43,0,-1,3,0,566,0,0,0
567,40,-1,22,0,0,0,609,0,0
568,40,-1,9,1,0,0,581,0,0
569,39,-1,-1,1,0,0,0,0,0
570,38,3,-1,0,0,573,0,0,0
571,38,-1,25,0,0,0,609,0,0
572,38,0,-1,1,0,572,0,0,0
573,37,-1,38,1,0,0,637,0,0
574,36,9,-1,0,0,583,0,0,0
575,36,24,-1,0,0,599,0,0,0
576,36,-1,38,0,0,0,637,0,0
577,36,-1,0,0,0,0,581,0,0
578,36,-1,2,0,0,0,581,0,0
579,36,0,-1,1,0,579,0,0,0
580,35,-1,0,0,0,0,581,0,0
581,35,0,-1,1,20,581,0,0,0
582,14,-1,0,1,0,0,609,0,0
583,13,-1,-1,1,0,0,0,0,0
584,12,3,-1,0,0,587,0,0,0
585,12,25,-1,0,0,610,0,0,0
586,12,15,-1,0,0,601,0,0,0
587,12,1,-1,1,0,588,0,0,0
588,11,0,-1,2,0,588,0,0,0
589,9,75,-1,0,0,664,0,0,0
590,9,3,-1,0,0,593,0,0,0
591,9,-1,61,0,0,0,665,0,0
592,9,-1,2,0,0,0,609,0,0
593,9,1,-1,1,0,594,0,0,0
594,8,-1,78,1,0,0,693,0,0
595,7,5,-1,0,0,600,0,0,0
596,7,-1,0,0,0,0,609,0,0
597,7,5,-1,0,0,602,0,0,0
598,7,-1,2,0,0,0,609,0,0
599,7,-1,0,1,0,0,609,0,0
600,50,4,-1,1,0,604,0,0,0
601,49,0,-1,2,0,601,0,0,0
602,47,-1,-1,1,0,0,0,0,0
603,46,-1,21,1,0,0,637,0,0
604,45,-1,33,2,0,0,637,0,0
605,43,-1,26,0,0,0,637,0,0
606,43,-1,0,0,0,0,609,0,0
607,43,-1,0,0,0,0,609,0,0
608,43,-1,4,0,0,0,637,0,0
609,43,-1,-1,0,13,0,0,0,0
610,30,-1,-1,1,0,0,0,0,0
611,29,1,-1,0,0,612,0,0,0
612,29,14,-1,1,0,626,0,0,0
613,28,-1,-1,1,0,0,0,0,0
614,27,37,-1,0,0,651,0,0,0
615,27,-1,3,0,0,0,637,0,0
616,27,1,-1,0,0,617,0,0,0
617,27,65,-1,1,0,682,0,0,0
618,26,9,-1,1,0,627,0,0,0
619,25,20,-1,0,0,0,0,1,0
620,25,24,-1,0,0,644,0,0,0
621,25,-1,5,0,0,0,637,0,0
622,25,-1,-1,0,0,0,0,0,0
623,25,-1,3,0,0,0,0,0,1
624,25,6,-1,0,0,630,0,0,0
625,25,2,-1,0,0,627,0,0,0
626,25,-1,3,1,0,0,637,0,0
627,24,0,-1,3,0,627,0,0,0
628,21,-1,5,0,0,0,637,0,0
629,21,-1,0,0,0,0,665,0,1
630,21,-1,17,1,0,0,665,0,0
631,20,-1,24,1,0,0,665,0,0
632,19,-1,74,0,0,0,721,0,0
633,19,-1,0,0,0,0,637,0,0
634,19,-1,0,0,0,0,637,0,0
635,19,2,-1,0,0,640,0,1,0
636,19,-1,-1,0,0,0,0,0,0
637,19,-1,2,19,19,0,665,0,0
638,0,-1,-1,0,0,0,0,0,0
639,0,2,-1,0,0,641,0,0,0
640,50,-1,4,1,0,0,665,0,0
641,49,3,-1,1,0,644,0,0,0
642,48,-1,-1,0,0,0,0,0,0
643,48,-1,-1,0,0,0,0,0,0
644,48,0,-1,3,0,644,0,0,0
645,45,0,-1,1,0,645,0,0,0
646,44,0,-1,1,0,646,0,0,0
647,43,10,-1,0,0,657,0,0,0
648,43,-1,22,0,0,0,693,0,0
649,43,-1,-1,0,0,0,0,0,0
650,43,13,-1,0,0,663,0,0,0
651,43,0,-1,2,0,651,0,0,0
652,41,-1,34,0,0,0,693,0,0
653,41,-1,0,0,0,0,665,0,0
654,41,-1,2,1,0,0,665,0,0
655,40,-1,8,0,0,0,665,0,0
656,40,46,-1,0,0,702,0,0,0
657,40,-1,25,1,0,0,693,0,0
658,39,3,-1,0,0,661,0,0,0
659,39,-1,0,0,0,0,665,0,0
660,39,-1,3,0,0,0,665,0,0
661,39,0,-1,2,0,661,0,0,0
662,37,-1,0,0,0,0,665,0,0
663,37,-1,-1,1,0,0,0,0,0
664,36,-1,10,1,0,0,693,0,0
665,35,22,-1,0,15,687,0,0,0
666,20,-1,-1,0,0,0,0,0,0
667,20,-1,2,0,0,0,693,0,0
668,20,-1,-1,0,0,0,0,0,0
669,20,-1,3,0,0,0,693,0,0
670,20,-1,0,1,0,0,693,0,0
671,19,-1,48,0,0,0,721,0,0
672,19,11,-1,0,0,683,0,0,0
673,19,4,-1,0,0,677,0,0,0
674,19,7,-1,0,0,681,0,0,0
675,19,0,-1,1,0,675,0,0,0
676,18,14,-1,0,0,690,0,0,0
677,18,-1,-1,1,0,0,0,0,0
678,17,-1,-1,0,0,0,0,0,0
679,17,-1,-1,0,0,0,0,0,0
680,50,-1,0,0,0,0,693,0,0
681,50,-1,2,1,0,0,693,0,0
682,49,2,-1,1,0,684,0,0,0
683,48,1,-1,2,0,684,0,0,0
684,46,3,-1,2,0,687,0,0,0
685,44,-1,0,0,0,0,693,0,0
686,44,-1,0,0,0,0,693,0,0
687,44,-1,-1,2,0,0,0,0,0
688,42,0,-1,1,0,688,0,0,0
689,41,-1,3,1,0,0,693,0,0
690,40,-1,0,1,0,0,693,0,0
691,39,-1,1,0,0,0,693,0,0
692,39,-1,0,0,0,0,693,0,0
693,39,1,-1,0,18,694,0,0,0
694,21,-1,-1,1,0,0,0,0,0
695,20,-1,-1,0,0,0,0,0,0
696,20,11,-1,0,0,707,0,0,0
697,20,4,-1,0,0,701,0,0,0
698,20,7,-1,0,0,705,0,0,0
699,20,-1,-1,0,0,0,0,0,0
700,20,-1,-1,0,0,0,0,0,0
701,20,-1,12,1,0,0,721,0,0
702,19,-1,-1,1,0,0,0,0,0
703,18,9,-1,0,0,712,0,0,0
704,18,10,-1,0,0,714,0,0,0
705,18,-1,1,1,0,0,721,0,0
706,17,-1,0,0,0,0,721,0,0
707,17,-1,-1,1,0,0,0,0,0
708,16,-1,0,0,0,0,721,0,0
709,16,-1,2,0,0,0,721,0,0
710,16,8,-1,0,0,718,0,0,0
711,16,-1,10,1,0,0,721,0,0
712,15,-1,8,1,0,0,721,0,0
713,14,-1,-1,0,0,0,0,0,0
714,14,-1,-1,1,0,0,0,0,0
715,13,-1,1,0,0,0,721,0,0
716,13,-1,0,0,0,0,721,0,0
717,13,-1,1,0,0,0,721,0,0
718,13,-1,0,1,0,0,721,0,0
719,12,1,-1,0,0,720,0,0,0
720,50,-1,7,2,0,0,0,0,0
721,48,6,-1,0,14,727,0,0,0
722,34,-1,-1,0,0,0,0,0,0
723,34,4,-1,0,0,727,0,0,0
724,34,1,-1,0,0,725,0,0,0
725,34,-1,-1,1,0,0,0,0,0
726,33,1,-1,0,0,727,0,0,0
727,33,-1,-1,3,0,0,0,0,0
728,30,-1,-1,0,0,0,0,0,0
729,30,-1,-1,0,0,0,0,0,0
