delay_type,location_type,intervention_type,sensitivity,ci_mean,ci_low,ci_high
choice_delay,phc,ccedisruption,1.0,93.18,78.47,110.0
choice_delay,phc,ccedisruption,2.0,94.45,79.43,110.0
choice_delay,phc,ccedisruption,3.0,93.76,81.47,106.52
choice_delay,phc,ccedisruption,4.0,93.26,76.95,111.0
choice_delay,phc,ccedisruption,5.0,94.65,80.47,111.52
choice_delay,phc,replenishmentdisruption,0.0,93.91,79.47,108.05
choice_delay,phc,replenishmentdisruption,0.05,94.89,82.48,112.52
choice_delay,phc,replenishmentdisruption,0.1,94.23,79.0,111.52
choice_delay,phc,replenishmentdisruption,0.15000000000000002,94.82,80.47,109.57
choice_delay,phc,replenishmentdisruption,0.2,94.72,78.0,113.05
choice_delay,phc,ccedisruption_continuous,1.0,53.4,45.12,65.2
choice_delay,phc,ccedisruption_continuous,2.0,59.0,50.68,66.78
choice_delay,phc,ccedisruption_continuous,3.0,56.9,47.35,63.78
choice_delay,phc,ccedisruption_continuous,4.0,51.2,41.12,59.88
choice_delay,phc,ccedisruption_continuous,5.0,60.8,53.68,69.78
choice_delay,phc,ccedisruption_continuous,1.0,53.4,45.12,65.2
choice_delay,phc,ccedisruption_continuous,2.0,59.0,50.68,66.78
choice_delay,phc,ccedisruption_continuous,3.0,56.9,47.35,63.78
choice_delay,phc,ccedisruption_continuous,4.0,51.2,41.12,59.88
choice_delay,phc,ccedisruption_continuous,5.0,60.8,53.68,69.78
choice_delay,ss,ccedisruption,1.0,201.75,185.95,217.0
choice_delay,ss,ccedisruption,2.0,201.89,184.95,221.62
choice_delay,ss,ccedisruption,3.0,203.43,188.48,217.52
choice_delay,ss,ccedisruption,4.0,203.87,183.42,222.05
choice_delay,ss,ccedisruption,5.0,202.63,184.48,216.52
choice_delay,ss,replenishmentdisruption,0.0,201.41,185.0,215.52
choice_delay,ss,replenishmentdisruption,0.05,201.09,182.48,217.05
choice_delay,ss,replenishmentdisruption,0.1,202.11,185.48,219.0
choice_delay,ss,replenishmentdisruption,0.15000000000000002,201.77,185.95,219.0
choice_delay,ss,replenishmentdisruption,0.2,201.2,183.48,218.05
choice_delay,ss,ccedisruption_continuous,1.0,274.2,262.12,281.77
choice_delay,ss,ccedisruption_continuous,2.0,266.7,256.9,276.55
choice_delay,ss,ccedisruption_continuous,3.0,271.2,261.45,281.88
choice_delay,ss,ccedisruption_continuous,4.0,273.7,260.12,289.75
choice_delay,ss,ccedisruption_continuous,5.0,268.6,257.45,283.42
choice_delay,ss,ccedisruption_continuous,1.0,274.2,262.12,281.77
choice_delay,ss,ccedisruption_continuous,2.0,266.7,256.9,276.55
choice_delay,ss,ccedisruption_continuous,3.0,271.2,261.45,281.88
choice_delay,ss,ccedisruption_continuous,4.0,273.7,260.12,289.75
choice_delay,ss,ccedisruption_continuous,5.0,268.6,257.45,283.42
supply_delay,phc,ccedisruption,1.0,111.73,94.95,127.52
supply_delay,phc,ccedisruption,2.0,110.94,94.48,124.52
supply_delay,phc,ccedisruption,3.0,108.78,93.48,125.0
supply_delay,phc,ccedisruption,4.0,106.18,86.95,124.05
supply_delay,phc,ccedisruption,5.0,106.65,89.48,124.52
supply_delay,phc,replenishmentdisruption,0.0,113.99,97.0,128.0
supply_delay,phc,replenishmentdisruption,0.05,114.03,100.48,131.57
supply_delay,phc,replenishmentdisruption,0.1,110.68,91.43,129.52
supply_delay,phc,replenishmentdisruption,0.15000000000000002,107.98,79.43,125.52
supply_delay,phc,replenishmentdisruption,0.2,105.37,77.95,133.0
supply_delay,phc,ccedisruption_continuous,1.0,61.3,54.0,72.2
supply_delay,phc,ccedisruption_continuous,2.0,66.8,58.22,74.78
supply_delay,phc,ccedisruption_continuous,3.0,60.6,54.0,69.65
supply_delay,phc,ccedisruption_continuous,4.0,55.1,39.12,63.88
supply_delay,phc,ccedisruption_continuous,5.0,63.5,57.0,71.78
supply_delay,phc,ccedisruption_continuous,1.0,61.3,54.0,72.2
supply_delay,phc,ccedisruption_continuous,2.0,66.8,58.22,74.78
supply_delay,phc,ccedisruption_continuous,3.0,60.6,54.0,69.65
supply_delay,phc,ccedisruption_continuous,4.0,55.1,39.12,63.88
supply_delay,phc,ccedisruption_continuous,5.0,63.5,57.0,71.78
supply_delay,ss,ccedisruption,1.0,228.37,205.0,252.52
supply_delay,ss,ccedisruption,2.0,221.64,183.42,246.58
supply_delay,ss,ccedisruption,3.0,215.73,185.38,241.52
supply_delay,ss,ccedisruption,4.0,209.5,177.95,240.52
supply_delay,ss,ccedisruption,5.0,201.86,159.85,233.05
supply_delay,ss,replenishmentdisruption,0.0,234.44,221.0,249.52
supply_delay,ss,replenishmentdisruption,0.05,230.72,213.48,246.0
supply_delay,ss,replenishmentdisruption,0.1,221.19,174.12,248.52
supply_delay,ss,replenishmentdisruption,0.15000000000000002,209.43,141.65,243.05
supply_delay,ss,replenishmentdisruption,0.2,200.74,117.48,242.58
supply_delay,ss,ccedisruption_continuous,1.0,271.9,251.38,282.77
supply_delay,ss,ccedisruption_continuous,2.0,253.9,240.8,267.88
supply_delay,ss,ccedisruption_continuous,3.0,252.4,220.28,282.55
supply_delay,ss,ccedisruption_continuous,4.0,246.1,226.12,265.2
supply_delay,ss,ccedisruption_continuous,5.0,229.1,205.92,248.88
supply_delay,ss,ccedisruption_continuous,1.0,271.9,251.38,282.77
supply_delay,ss,ccedisruption_continuous,2.0,253.9,240.8,267.88
supply_delay,ss,ccedisruption_continuous,3.0,252.4,220.28,282.55
supply_delay,ss,ccedisruption_continuous,4.0,246.1,226.12,265.2
supply_delay,ss,ccedisruption_continuous,5.0,229.1,205.92,248.88
